2025/02/12 06:40:25: Training starting...
2025/02/12 06:43:00: Episode 7500) Epsilon: 0.69, Reward: -5.700, Best Reward: 4.90, Mean Reward -5.08
2025/02/12 06:43:02: Episode 7600) Epsilon: 0.68, Reward: -7.500, Best Reward: 4.90, Mean Reward -5.53
2025/02/12 06:43:04: Episode 7700) Epsilon: 0.68, Reward: -0.300, Best Reward: 4.90, Mean Reward -5.33
2025/02/12 06:43:06: Episode 7800) Epsilon: 0.68, Reward: -7.500, Best Reward: 4.90, Mean Reward -5.32
2025/02/12 06:43:09: Episode 7900) Epsilon: 0.67, Reward: -0.900, Best Reward: 4.90, Mean Reward -5.39
2025/02/12 06:43:12: Episode 8000) Epsilon: 0.67, Reward: -4.500, Best Reward: 4.90, Mean Reward -5.52
2025/02/12 06:43:14: Episode 8100) Epsilon: 0.67, Reward: -5.100, Best Reward: 4.90, Mean Reward -5.26
2025/02/12 06:43:17: Episode 8200) Epsilon: 0.66, Reward: -3.900, Best Reward: 4.90, Mean Reward -5.26
2025/02/12 06:43:19: Episode 8300) Epsilon: 0.66, Reward: -6.900, Best Reward: 4.90, Mean Reward -5.29
2025/02/12 06:43:21: Episode 8400) Epsilon: 0.66, Reward: -6.300, Best Reward: 4.90, Mean Reward -5.38
2025/02/12 06:43:24: Episode 8500) Epsilon: 0.65, Reward: -7.500, Best Reward: 4.90, Mean Reward -4.70
2025/02/12 06:43:26: Episode 8600) Epsilon: 0.65, Reward: -6.900, Best Reward: 4.90, Mean Reward -4.95
2025/02/12 06:43:28: Episode 8700) Epsilon: 0.65, Reward: -5.700, Best Reward: 4.90, Mean Reward -4.49
2025/02/12 06:43:31: Episode 8800) Epsilon: 0.64, Reward: -4.500, Best Reward: 4.90, Mean Reward -5.38
2025/02/12 06:43:33: Episode 8900) Epsilon: 0.64, Reward: -7.500, Best Reward: 4.90, Mean Reward -4.98
2025/02/12 06:43:36: Episode 9000) Epsilon: 0.64, Reward: -3.300, Best Reward: 4.90, Mean Reward -4.98
2025/02/12 06:43:39: Episode 9100) Epsilon: 0.63, Reward: -7.500, Best Reward: 4.90, Mean Reward -4.40
2025/02/12 06:43:41: Episode 9200) Epsilon: 0.63, Reward: -5.100, Best Reward: 4.90, Mean Reward -4.95
2025/02/12 06:43:44: Episode 9300) Epsilon: 0.63, Reward: -6.300, Best Reward: 4.90, Mean Reward -4.84
2025/02/12 06:43:46: Episode 9400) Epsilon: 0.62, Reward: -6.900, Best Reward: 4.90, Mean Reward -4.05
2025/02/12 06:43:48: Episode 9500) Epsilon: 0.62, Reward: -3.300, Best Reward: 4.90, Mean Reward -4.88
2025/02/12 06:43:51: Episode 9600) Epsilon: 0.62, Reward: -7.500, Best Reward: 4.90, Mean Reward -4.83
2025/02/12 06:43:53: Episode 9700) Epsilon: 0.62, Reward: -5.100, Best Reward: 4.90, Mean Reward -4.40
2025/02/12 06:43:56: Episode 9800) Epsilon: 0.61, Reward: -5.100, Best Reward: 4.90, Mean Reward -4.02
2025/02/12 06:43:58: Episode 9900) Epsilon: 0.61, Reward: -5.700, Best Reward: 4.90, Mean Reward -4.34
2025/02/12 06:44:01: Episode 10000) Epsilon: 0.61, Reward: 3.900, Best Reward: 4.90, Mean Reward -4.38
2025/02/12 06:44:03: Episode 10100) Epsilon: 0.60, Reward: -4.500, Best Reward: 4.90, Mean Reward -4.15
2025/02/12 06:44:06: Episode 10200) Epsilon: 0.60, Reward: -5.700, Best Reward: 4.90, Mean Reward -3.77
2025/02/12 06:44:09: Episode 10300) Epsilon: 0.60, Reward: -3.900, Best Reward: 4.90, Mean Reward -4.10
2025/02/12 06:44:09: Episode 10313) New Best Reward 6.10 (+24.5%), saving model...
2025/02/12 06:44:11: Episode 10400) Epsilon: 0.59, Reward: -6.300, Best Reward: 6.10, Mean Reward -4.12
2025/02/12 06:44:13: Episode 10500) Epsilon: 0.59, Reward: -4.500, Best Reward: 6.10, Mean Reward -4.37
2025/02/12 06:44:16: Episode 10600) Epsilon: 0.59, Reward: -2.100, Best Reward: 6.10, Mean Reward -4.00
2025/02/12 06:44:18: Episode 10700) Epsilon: 0.59, Reward: -6.900, Best Reward: 6.10, Mean Reward -3.32
2025/02/12 06:44:21: Episode 10800) Epsilon: 0.58, Reward: 0.300, Best Reward: 6.10, Mean Reward -4.38
2025/02/12 06:44:23: Episode 10900) Epsilon: 0.58, Reward: -6.300, Best Reward: 6.10, Mean Reward -3.70
2025/02/12 06:44:25: Episode 11000) Epsilon: 0.58, Reward: -5.100, Best Reward: 6.10, Mean Reward -4.15
2025/02/12 06:44:28: Episode 11100) Epsilon: 0.57, Reward: -5.700, Best Reward: 6.10, Mean Reward -4.31
2025/02/12 06:44:31: Episode 11200) Epsilon: 0.57, Reward: -5.700, Best Reward: 6.10, Mean Reward -4.22
2025/02/12 06:44:34: Episode 11300) Epsilon: 0.57, Reward: -8.100, Best Reward: 6.10, Mean Reward -3.80
2025/02/12 06:44:36: Episode 11400) Epsilon: 0.57, Reward: 1.500, Best Reward: 6.10, Mean Reward -3.26
2025/02/12 06:44:39: Episode 11500) Epsilon: 0.56, Reward: -1.500, Best Reward: 6.10, Mean Reward -3.37
2025/02/12 06:44:41: Episode 11600) Epsilon: 0.56, Reward: -3.900, Best Reward: 6.10, Mean Reward -4.32
2025/02/12 06:44:44: Episode 11700) Epsilon: 0.56, Reward: -5.100, Best Reward: 6.10, Mean Reward -3.86
